symbol	description	entrez_id
symbol	name	entrez_id
A1BG	alpha-1-B glycoprotein	1
A1BG-AS1	A1BG antisense RNA 1	503538
A1CF	APOBEC1 complementation factor	29974
A2M	alpha-2-macroglobulin	2
A2M-AS1	A2M antisense RNA 1	144571
A2ML1	alpha-2-macroglobulin like 1	144568
A2ML1-AS1	A2ML1 antisense RNA 1	100874108
A2ML1-AS2	A2ML1 antisense RNA 2	106478979
A2MP1	alpha-2-macroglobulin pseudogene 1	3
A3GALT2	alpha 1,3-galactosyltransferase 2	127550
A4GALT	alpha 1,4-galactosyltransferase (P blood group)	53947
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	51146
A12M1	entry withdrawn	
A12M2	entry withdrawn	
A12M3	entry withdrawn	
A12M4	entry withdrawn	
AAAS	aladin WD repeat nucleoporin	8086
AABT	entry withdrawn	
AACS	acetoacetyl-CoA synthetase	65985
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	729522
AADAC	arylacetamide deacetylase	13
AADACL2	arylacetamide deacetylase like 2	344752
AADACL2-AS1	AADACL2 antisense RNA 1	101928142
AADACL3	arylacetamide deacetylase like 3	126767
AADACL4	arylacetamide deacetylase like 4	343066
AADACP1	arylacetamide deacetylase pseudogene 1	201651
AADAT	aminoadipate aminotransferase	51166
AAGAB	alpha and gamma adaptin binding protein	79719
AAK1	AP2 associated kinase 1	22848
AAMDC	adipogenesis associated Mth938 domain containing	28971
AAMP	angio associated migratory cell protein	14
AANAT	aralkylamine N-acetyltransferase	15
AAR2	AAR2 splicing factor homolog	25980
AARD	alanine and arginine rich domain containing protein	441376
AARS	alanyl-tRNA synthetase	16
AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505
AARSD1	alanyl-tRNA synthetase domain containing 1	80755
AARSP1	alanyl-tRNA synthetase pseudogene 1	106480683
AASDH	aminoadipate-semialdehyde dehydrogenase	132949
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496
AASS	aminoadipate-semialdehyde synthase	10157
AATBC	apoptosis associated transcript in bladder cancer	284837
AATF	apoptosis antagonizing transcription factor	26574
AATK	apoptosis associated tyrosine kinase	9625
AAVS1	adeno-associated virus integration site 1	17
ABALON	apoptotic BCL2L1-antisense long non-coding RNA	103021294
ABAT	4-aminobutyrate aminotransferase	18
ABCA1	ATP binding cassette subfamily A member 1	19
ABCA2	ATP binding cassette subfamily A member 2	20
ABCA3	ATP binding cassette subfamily A member 3	21
ABCA4	ATP binding cassette subfamily A member 4	24
ABCA5	ATP binding cassette subfamily A member 5	23461
ABCA6	ATP binding cassette subfamily A member 6	23460
ABCA7	ATP binding cassette subfamily A member 7	10347
ABCA8	ATP binding cassette subfamily A member 8	10351
ABCA9	ATP binding cassette subfamily A member 9	10350
ABCA9-AS1	ABCA9 antisense RNA 1	104355297
ABCA10	ATP binding cassette subfamily A member 10	10349
ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	79963
ABCA12	ATP binding cassette subfamily A member 12	26154
ABCA13	ATP binding cassette subfamily A member 13	154664
ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	650655
ABCB1	ATP binding cassette subfamily B member 1	5243
ABCB4	ATP binding cassette subfamily B member 4	5244
ABCB5	ATP binding cassette subfamily B member 5	340273
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058
ABCB7	ATP binding cassette subfamily B member 7	22
ABCB8	ATP binding cassette subfamily B member 8	11194
ABCB9	ATP binding cassette subfamily B member 9	23457
ABCB10	ATP binding cassette subfamily B member 10	23456
ABCB10P1	ABCB10 pseudogene 1	56476
ABCB10P3	ABCB10 pseudogene 3	728248
ABCB10P4	ABCB10 pseudogene 4	100132289
ABCB11	ATP binding cassette subfamily B member 11	8647
ABCC1	ATP binding cassette subfamily C member 1	4363
ABCC2	ATP binding cassette subfamily C member 2	1244
ABCC3	ATP binding cassette subfamily C member 3	8714
ABCC4	ATP binding cassette subfamily C member 4	10257
ABCC5	ATP binding cassette subfamily C member 5	10057
ABCC5-AS1	ABCC5 antisense RNA 1	100873982
ABCC6	ATP binding cassette subfamily C member 6	368
ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	653190
ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	730013
ABCC8	ATP binding cassette subfamily C member 8	6833
ABCC9	ATP binding cassette subfamily C member 9	10060
ABCC10	ATP binding cassette subfamily C member 10	89845
ABCC11	ATP binding cassette subfamily C member 11	85320
ABCC12	ATP binding cassette subfamily C member 12	94160
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	150000
ABCD1	ATP binding cassette subfamily D member 1	215
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	23785
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	26983
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	26982
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	26957
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	642762
ABCD2	ATP binding cassette subfamily D member 2	225
