	diff_exp.Symbol	diff_exp.logFC	diff_exp.adj.P.Val
1	FAXDC2	0.773269345018493	5.18451704822012e-06
2	EDN1	0.842997064607019	2.68513387985061e-05
3	SLC13A3	0.937542703174219	2.68513387985061e-05
4	NA	1.08669951603975	5.35883326897693e-05
5	TUBB6	-0.583235123061185	5.35883326897693e-05
6	MAOA	0.672430138836359	9.07966850693212e-05
7	PLPPR1	0.662784161633298	9.07966850693212e-05
8	RAPGEF5	0.614195919670583	9.07966850693212e-05
9	LGALS8	0.700570074524984	0.000129324576077268
10	LGALS8	0.942627601164034	0.000151123073348266
11	EDN1	1.02263311378982	0.000151123073348266
12	SPTLC3	0.639427904712491	0.000151123073348266
13	FAXDC2	0.54864647184634	0.000151123073348266
14	TRIM15	0.477968187989328	0.000151123073348266
15	SLC13A3	0.7691468163042	0.000151123073348266
16	LGALS8	0.840980457901684	0.000151123073348266
17	ACSL1	-0.708813741865371	0.000162050557514417
18	FILIP1L	0.868116857422473	0.000321287984177452
19	NBR1	0.515402866085854	0.000348034738591414
20	LGALS8	0.458466919148497	0.00036049750744655
21	NA	0.643329516968656	0.00036049750744655
22	FNIP2	0.431720496982879	0.00036049750744655
23	ANGPTL1	1.03121961784542	0.00036049750744655
24	RAB27A	-0.555621370911216	0.00036049750744655
25	TRIM15	0.455347193305452	0.000383135267065509
26	SLC13A3	0.868924150719436	0.00047466027390038
27	FKBP5	-0.456553711331598	0.000495199889843483
28	PPM1H	0.506845263663026	0.000514490719693249
29	MAOA	0.609857073993122	0.000517753475797204
30	MAOA	0.485176764399076	0.000534119681647175
31	SDF2L1	-0.660131433553709	0.000538326714075505
32	RBPMS	0.611667308445327	0.000538326714075505
33	ANXA2	0.513206807697071	0.000538326714075505
34	MGST2	0.440429194080524	0.000538326714075505
35	CTDSPL	0.521703909726279	0.000580507305296879
36	SGK1	0.67471175534672	0.000613737720648179
37	APOM	0.412287409089817	0.000613737720648179
38	DEPP1	1.02478776459917	0.000645248592740602
39	PRKAR1A	0.735806350310871	0.00066600648863343
40	RAB27A	-0.571333360550191	0.000669294548454895
41	IFI6	-0.485632478223227	0.000730182920451465
42	HSPH1	-0.815092541465892	0.000730182920451465
43	FGD4	0.580675882773347	0.000730182920451465
44	ANXA2P2	0.494969681770134	0.000754511996761402
45	SSUH2	0.419718956231714	0.000754511996761402
46	FNIP2	0.470109053930084	0.000810939418623564
47	SLC13A3	0.857729886144746	0.000810939418623564
48	SH3YL1	0.503147371093712	0.000819850291021626
49	ACSL6	0.715949095068005	0.000829592705092369
50	FNIP2	0.533554203633679	0.000874002269573743
51	ZDHHC23	-0.559413732512789	0.000937018183220645
52	FST	0.531356905761567	0.000965125700478038
53	ZNF277	0.388601001766662	0.000965125700478038
54	ANXA2	0.501797943156659	0.000965125700478038
55	ACSL1	-0.717560511602461	0.000965125700478038
56	ANGPTL1	0.866482365004188	0.000982229464690713
57	SULT2A1	0.689455317822783	0.000984697297635413
58	FILIP1L	0.90661357167078	0.000984697297635413
59	FST	0.460052645904978	0.00111375971699687
60	LAMP3	-1.02564103687891	0.00125836537259161
61	APOM	0.403561214323775	0.00125836537259161
62	CCL16	0.599122565776625	0.00132583279134244
63	SESN3	0.730654398319415	0.00138316822350652
64	NR0B2	0.43336385403008	0.00138316822350652
65	LOC101928076	0.372426584589794	0.00138316822350652
66	MOCOS	-0.632301884206105	0.00138316822350652
67	ANXA2	0.48487577894455	0.00143443760443793
68	TFPI	0.439405696306941	0.00143932522227534
69	PIM1	0.527865943571938	0.00156137437281425
70	CTDSPL	0.517853531822934	0.00156137437281425
71	GRB7	0.523488815904122	0.00156137437281425
72	KLF4	-1.08295495736435	0.00165012482003011
73	RFLNB	-0.378821381026948	0.00182333131106022
74	RAB27A	-0.417238780395153	0.00183768878720755
75	NCS1	-0.480223889007354	0.00190218975036448
76	POLR1D	0.43163276212185	0.00190316853914707
77	LARP6	-0.677569599482574	0.00191194659230622
78	CTDSPL	0.428066239502901	0.00218771370997969
79	NOA1	0.345121473666098	0.00218771370997969
80	RAB27A	-0.647590287178795	0.00218771370997969
81	NA	-0.391664288055702	0.00218771370997969
82	TTR	0.566737331866718	0.00228803546225883
83	NA	-0.372344819050837	0.00232152782507787
84	NA	-0.482133543382815	0.00238222556924569
85	ERBB3	0.363354576566752	0.0025181475643281
86	ALDH4A1	0.345503341538791	0.00256352427930051
87	SULT2A1	0.622979305482623	0.00258621458927416
88	CTGF	0.711579218636978	0.00258621458927416
89	PEA15	-0.380769862503398	0.00270604843010568
90	HSP90AA1	-0.3109406149868	0.00277173538992283
91	DUSP6	0.401750119168559	0.00280932614034806
92	USP13	0.349447587249221	0.00283321632428757
93	CYR61	0.712436984636869	0.00295040476472759
94	LINC02525	0.616966581472701	0.00297623588694675
95	TTL	-0.335653553707846	0.00299984377699619
96	OSCAR	-0.727254881394974	0.0030032186369532
97	NA	0.710106627088837	0.0030032186369532
98	YPEL2	0.434694410848149	0.0030032186369532
99	HEG1	0.419808205218811	0.0030032186369532
100	MANF	-0.526561028414403	0.00306130840953403
101	SOX6	0.499207803079322	0.00311292884758648
102	DUSP6	0.428059207924348	0.00312417575894979
103	CCL20	0.512780334840504	0.00312417575894979
104	PEG10	0.307560532231253	0.00312417575894979
105	SAT1	0.400942198583898	0.00324827986949437
106	HS3ST5	0.665415667339989	0.00336351186578479
107	PCYT1B	0.565134164577059	0.00349766320365874
108	NA	0.611532826039256	0.00349766320365874
109	PEX6	0.332295804578666	0.00360334843789005
110	HES4	-0.362660265051914	0.00360334843789005
111	LEO1	0.423727722140132	0.00367261063942873
112	LGALS8	0.543747749847806	0.00375546875244754
113	HSPH1	-0.529338717048742	0.00409093409487965
114	FZD4	0.378860195141637	0.00431359649294577
115	ACADSB	0.441166597045997	0.00431377843096706
116	HDAC5	0.406683793553031	0.00431441239257581
117	CEACAM1	0.42856485029866	0.00431441239257581
118	NA	-0.563870413889853	0.00431441239257581
119	ST3GAL1	0.37905349196551	0.00446253315808982
120	ALDH6A1	0.351532024416689	0.00457424633132109
121	SPTLC3	0.687384561021804	0.00457424633132109
122	ENC1	0.336656756517436	0.00457424633132109
123	MAP1B	-0.471330510210901	0.00488283301706411
124	SRXN1	-0.515089601763356	0.00488928286078505
125	ITPRIPL1	-0.447458635032203	0.00488928286078505
126	SPRY1	0.503179453366266	0.0050018924160892
127	RBPMS	0.439124584777113	0.00501851872745171
128	HIST1H2BD	-0.45209682085595	0.00507828670300998
129	FST	0.476923259815795	0.00509062371062395
130	HSP90AA1	-0.283982274326726	0.0051453314669891
131	PLD1	0.34454057712987	0.00519070630234824
132	TMEM201	-0.399702275756585	0.00562625543223456
133	AIFM2	-0.406437857618056	0.00562625543223456
134	ORMDL3	0.348627845483259	0.0056419511479381
135	ARHGEF40	0.300143161537362	0.0056419511479381
136	PLEKHH2	-0.795158365640494	0.0056419511479381
137	FZD1	-0.470054100581198	0.00575181363571836
138	FGD4	0.899628424646777	0.00581543720227788
139	BRD7	-0.44278949193623	0.00600481564280978
140	SOX6	0.340334287557375	0.00603468483083056
141	NA	0.489519641422722	0.00603468483083056
142	CMSS1	-0.48339230521735	0.00603468483083056
143	SORT1	0.350117425428422	0.00605185247944583
144	PRR11	0.494068783682283	0.00618117323859894
145	PDZK1	0.694594600427673	0.00622415811720637
146	PHLDA2	-0.791360695687504	0.00633877343503998
147	ZNF277	0.532594431666109	0.00642165092367019
148	EML4	0.345352226595873	0.00642165092367019
149	ZSWIM5	0.391123558989174	0.00642165092367019
150	UTRN	0.456729697558316	0.00648994884316059
151	SEMA4G	0.465450167062131	0.00658318666435095
152	PRPS2	-0.423294615693962	0.00658619038072982
153	POLR1D	0.335160150540571	0.00667539802585617
154	SORBS2	0.346285294471547	0.00675969994695318
155	RAB27A	-0.572968937390231	0.00683582811920423
156	NR1H3	0.35009861178726	0.00685142965532653
157	PIGW	-0.511105096789786	0.00689054916356507
158	ZNF326	-0.408034178114897	0.00745311972260804
159	CCND3	-0.311557120239524	0.00749321210954271
160	FOXC1	-0.482642242623722	0.00756920865812143
161	SESN3	0.720271512103431	0.00758293224246306
162	FRY	0.676513032587121	0.00773447758394807
163	CRELD2	-0.491420951414628	0.00773447758394807
164	DEPP1	0.823000078989244	0.0077529889151185
165	NA	0.474036732829318	0.00785612707477956
166	PPP1R16A	0.452828069092537	0.00791447165406543
167	MAP4K3-DT	0.35472384910292	0.00791447165406543
168	SAT1	0.395786575975903	0.00791447165406543
