Source Name	Strain	Biological Replicate	Compound	Compound Class	Control	Sample Match	Dose	Dose Unit	Dose Duration	Dose Duration Unit
HUL-H2-MED-24-R-1-2	HepG2	1	untreated	CTRL	TRUE				24	hour
HUL-H2-MED-24-R-2-2	HepG2	2	untreated	CTRL	TRUE				24	hour
HUL-H2-MED-24-R-3-2	HepG2	3	untreated	CTRL	TRUE				24	hour
HUL-H2-MED-72-R-1-2	HepG2	1	untreated	CTRL	TRUE				72	hour
HUL-H2-MED-72-R-2-2	HepG2	2	untreated	CTRL	TRUE				72	hour
HUL-H2-MED-72-R-3-2	HepG2	3	untreated	CTRL	TRUE				72	hour
HUL-H2-NNK1-24-R-1-2	HepG2	1	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one	Genotoxic	FALSE	HUL-H2-MED-24	10000	micromolar	24	hour
HUL-H2-NNK1-24-R-2-2	HepG2	2	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one	Genotoxic	FALSE	HUL-H2-MED-24	10000	micromolar	24	hour
HUL-H2-NNK1-24-R-3-2	HepG2	3	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one	Genotoxic	FALSE	HUL-H2-MED-24	10000	micromolar	24	hour
HUL-H2-NNK1-72-R-1-2	HepG2	1	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one	Genotoxic	FALSE	HUL-H2-MED-72	10000	micromolar	72	hour
HUL-H2-NNK1-72-R-2-2	HepG2	2	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one	Genotoxic	FALSE	HUL-H2-MED-72	10000	micromolar	72	hour
HUL-H2-NNK1-72-R-3-2	HepG2	3	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one	Genotoxic	FALSE	HUL-H2-MED-72	10000	micromolar	72	hour
