# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 10 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-5157
# Timestamp: Thu, 30-May-2019 20:40:45
Gene ID	Gene Name	'biomass' vs 'control' at '1 hour' .foldChange	'biomass' vs 'control' at '1 hour'.pValue	'biomass' vs 'control' at '16 hour' .foldChange	'biomass' vs 'control' at '16 hour'.pValue	'biomass' vs 'control' at '20 hour' .foldChange	'biomass' vs 'control' at '20 hour'.pValue	'biomass' vs 'control' at '4 hour' .foldChange	'biomass' vs 'control' at '4 hour'.pValue	'biomass' vs 'control' at '8 hour' .foldChange	'biomass' vs 'control' at '8 hour'.pValue	'diesel' vs 'control' at '1 hour' .foldChange	'diesel' vs 'control' at '1 hour'.pValue	'diesel' vs 'control' at '16 hour' .foldChange	'diesel' vs 'control' at '16 hour'.pValue	'diesel' vs 'control' at '20 hour' .foldChange	'diesel' vs 'control' at '20 hour'.pValue	'diesel' vs 'control' at '4 hour' .foldChange	'diesel' vs 'control' at '4 hour'.pValue	'diesel' vs 'control' at '8 hour' .foldChange	'diesel' vs 'control' at '8 hour'.pValue
ENSG00000000003	TSPAN6			-0.1	0.999516510215591	0.1	0.999975865166861	-0.1	0.996465604932035					-0.1	0.999999971785988			0.1	0.99993743598835	-0.1	0.999991842764457
ENSG00000000419	DPM1															-0.1	0.999993864973088	0.1	0.99993743598835		
ENSG00000000457	SCYL3							-0.1	0.996465604932035			0.1	0.999963861920391	-0.1	0.999999971785988	-0.1	0.999993864973088	0.1	0.99993743598835		
ENSG00000000460	C1orf112	0.1	0.999973754074131	0.1	0.999516510215591	0.2	0.999975865166861	-0.1	0.996465604932035	-0.1	0.999988430414761			-0.1	0.999999971785988					-0.2	0.999991842764457
ENSG00000000971	CFH	0.1	0.999973754074131	0.1	0.999516510215591			-0.2	0.996465604932035	0.1	0.999988430414761					-0.1	0.999993864973088			-0.1	0.999991842764457
ENSG00000001036	FUCA2	-0.1	0.999973754074131	-0.1	0.999516510215591																
ENSG00000001084	GCLC			0.1	0.999516510215591	0.1	0.999975865166861	-0.1	0.996465604932035	0.1	0.999988430414761	0.1	0.999963861920391	0.2	0.999999971785988			0.3	0.99993743598835	0.2	0.999991842764457
ENSG00000001167	NFYA	0.1	0.999973754074131			0.1	0.999975865166861	-0.1	0.996465604932035			-0.1	0.999963861920391								
ENSG00000001460	STPG1	0.1	0.999973754074131	-0.1	0.999516510215591			0.1	0.996465604932035	-0.1	0.999988430414761			-0.1	0.999999971785988			0.1	0.99993743598835	-0.1	0.999991842764457
ENSG00000001461	NIPAL3							-0.1	0.996465604932035	0.1	0.999988430414761									-0.1	0.999991842764457
ENSG00000001497	LAS1L	0.1	0.999973754074131					0.1	0.996465604932035			-0.1	0.999963861920391								
ENSG00000001561	ENPP4	0.1	0.999973754074131	0.2	0.999516510215591			-0.1	0.996465604932035	0.1	0.999988430414761	0.1	0.999963861920391			-0.1	0.999993864973088				
ENSG00000001617	SEMA3F			-0.2	0.999516510215591			0.1	0.996465604932035	-0.2	0.999988430414761			-0.1	0.999999971785988			-0.2	0.99993743598835	-0.1	0.999991842764457
ENSG00000001629	ANKIB1	0.1	0.999973754074131	0.1	0.999516510215591			-0.1	0.996465604932035	0.1	0.999988430414761	0.1	0.999963861920391			-0.1	0.999993864973088	0.1	0.99993743598835		
ENSG00000001630	CYP51A1			-0.1	0.999516510215591	-0.1	0.999975865166861	0.1	0.996465604932035	-0.2	0.999988430414761	-0.1	0.999963861920391			0.1	0.999993864973088	-0.1	0.99993743598835		
ENSG00000001631	KRIT1			0.2	0.999516510215591	-0.1	0.999975865166861	-0.1	0.996465604932035	0.3	0.999988430414761			0.1	0.999999971785988	-0.1	0.999993864973088	0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000002016	RAD52	-0.1	0.999973754074131			-0.1	0.999975865166861	-0.1	0.996465604932035			-0.1	0.999963861920391			-0.1	0.999993864973088	0.1	0.99993743598835		
ENSG00000002079	MYH16							0.1	0.996465604932035											-0.1	0.999991842764457
ENSG00000002330	BAD	-0.2	0.999973754074131	-0.2	0.999516510215591	-0.1	0.999975865166861	0.2	0.996465604932035	-0.1	0.999988430414761					0.2	0.999993864973088	-0.1	0.99993743598835		
ENSG00000002549	LAP3			-0.1	0.999516510215591	0.1	0.999975865166861	0.1	0.996465604932035					-0.1	0.999999971785988			0.1	0.99993743598835		
ENSG00000002586	CD99			-0.2	0.999516510215591	-0.2	0.999975865166861	0.3	0.996465604932035	-0.1	0.999988430414761	-0.1	0.999963861920391			-0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000002587	HS3ST1	-0.1	0.999973754074131					-0.1	0.996465604932035									-0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000002746	HECW1			0.1	0.999516510215591	-0.1	0.999975865166861														
ENSG00000002822	MAD1L1	-0.1	0.999973754074131	-0.3	0.999516510215591	-0.1	0.999975865166861	0.3	0.996465604932035					-0.1	0.999999971785988	0.1	0.999993864973088	-0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000002834	LASP1			-0.1	0.999516510215591					-0.1	0.999988430414761							-0.2	0.99993743598835	-0.1	0.999991842764457
ENSG00000002919	SNX11			0.1	0.999516510215591			-0.1	0.996465604932035			-0.1	0.999963861920391								
ENSG00000003056	M6PR	0.1	0.999973754074131	-0.1	0.999516510215591			0.1	0.996465604932035					-0.1	0.999999971785988	-0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000003096	KLHL13	-0.2	0.999973754074131	-0.1	0.999516510215591									-0.1	0.999999971785988	-0.4	0.999993864973088	0.1	0.99993743598835		
ENSG00000003147	ICA1	0.1	0.999973754074131			-0.1	0.999975865166861	-0.2	0.996465604932035					-0.1	0.999999971785988	-0.2	0.999993864973088				
ENSG00000003249	DBNDD1			-0.2	0.999516510215591	-0.1	0.999975865166861							-0.1	0.999999971785988	0.2	0.999993864973088	-0.2	0.99993743598835	0.1	0.999991842764457
ENSG00000003393	ALS2	-0.1	0.999973754074131	0.1	0.999516510215591			-0.1	0.996465604932035	-0.1	0.999988430414761							0.1	0.99993743598835		
ENSG00000003400	CASP10	-0.1	0.999973754074131	0.2	0.999516510215591			-0.1	0.996465604932035			-0.1	0.999963861920391								
ENSG00000003402	CFLAR	-0.1	0.999973754074131	0.1	0.999516510215591			0.1	0.996465604932035	0.1	0.999988430414761	-0.1	0.999963861920391					0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000003436	TFPI			0.2	0.999516510215591	0.1	0.999975865166861	-0.1	0.996465604932035					0.1	0.999999971785988	0.1	0.999993864973088	0.2	0.99993743598835		
ENSG00000003509	NDUFAF7			0.2	0.999516510215591			-0.1	0.996465604932035					0.1	0.999999971785988			0.2	0.99993743598835		
ENSG00000003756	RBM5	0.1	0.999973754074131							0.2	0.999988430414761					-0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000003987	MTMR7	0.2	0.999973754074131	-0.1	0.999516510215591			-0.1	0.996465604932035			0.1	0.999963861920391								
ENSG00000003989	SLC7A2					-0.1	0.999975865166861	-0.2	0.996465604932035					-0.1	0.999999971785988			0.1	0.99993743598835	-0.2	0.999991842764457
ENSG00000004059	ARF5			-0.2	0.999516510215591	-0.1	0.999975865166861	0.2	0.996465604932035			-0.1	0.999963861920391			0.1	0.999993864973088			0.2	0.999991842764457
ENSG00000004139	SARM1			-0.1	0.999516510215591			0.1	0.996465604932035											0.1	0.999991842764457
ENSG00000004142	POLDIP2	-0.1	0.999973754074131	-0.1	0.999516510215591							-0.1	0.999963861920391			0.1	0.999993864973088	-0.1	0.99993743598835	0.1	0.999991842764457
ENSG00000004399	PLXND1			-0.2	0.999516510215591	-0.2	0.999975865166861									0.1	0.999993864973088	-0.2	0.99993743598835		
ENSG00000004455	AK2			0.1	0.999516510215591															-0.1	0.999991842764457
ENSG00000004478	FKBP4			-0.1	0.999516510215591	0.1	0.999975865166861	0.1	0.996465604932035			-0.1	0.999963861920391			0.1	0.999993864973088			0.1	0.999991842764457
ENSG00000004487	KDM1A					0.1	0.999975865166861	-0.1	0.996465604932035							0.1	0.999993864973088			-0.1	0.999991842764457
ENSG00000004534	RBM6			0.1	0.999516510215591	0.1	0.999975865166861													-0.1	0.999991842764457
ENSG00000004660	CAMKK1	0.1	0.999973754074131	-0.2	0.999516510215591	0.1	0.999975865166861									0.1	0.999993864973088	-0.2	0.99993743598835	0.1	0.999991842764457
ENSG00000004700	RECQL	0.2	0.999973754074131	0.1	0.999516510215591	0.1	0.999975865166861	-0.1	0.996465604932035	0.1	0.999988430414761	0.1	0.999963861920391			-0.1	0.999993864973088				
