Source Name	Strain	Biological Replicate	Compound	Compound Class	Control	Sample Match	Dose	Dose Unit	Dose Duration	Dose Duration Unit
BPI-T1-DMSO-24h-R-2-1	HepaRG	1	dimethyl sulfoxide	DMSO	TRUE		0.5	percent	24	hour
BPI-T2-DMSO-24h-R-1-1	HepaRG	1	dimethyl sulfoxide	DMSO	TRUE		0.5	percent	24	hour
BPI-T3-DMSO-24h-R-1-1	HepaRG	1	dimethyl sulfoxide	DMSO	TRUE		0.5	percent	24	hour
BPI-T1-DMSO-72h-R-2-1	HepaRG	1	dimethyl sulfoxide	DMSO	TRUE		0.5	percent	72	hour
BPI-T2-DMSO-72h-R-1-1	HepaRG	1	dimethyl sulfoxide	DMSO	TRUE		0.5	percent	72	hour
BPI-T3-DMSO-72h-R-1-1	HepaRG	1	dimethyl sulfoxide	DMSO	TRUE		0.5	percent	72	hour
BPI-T1-AFB 10-24h-R-1-1	HepaRG	1	aflatoxin B1	Genotoxic	FALSE	BPI-T1-DMSO-24h	2.5	micromolar	24	hour
BPI-T2-AFB 10-24h-R-1-1	HepaRG	1	aflatoxin B1	Genotoxic	FALSE	BPI-T2-DMSO-24h	2.5	micromolar	24	hour
BPI-T3-AFB 10-24h-R-1-1	HepaRG	1	aflatoxin B1	Genotoxic	FALSE	BPI-T3-DMSO-24h	2.5	micromolar	24	hour
BPI-T1-AFB 10-72h-R-1-1	HepaRG	1	aflatoxin B1	Genotoxic	FALSE	BPI-T1-DMSO-72h	2.5	micromolar	72	hour
BPI-T2-AFB 10-72h-R-1-1	HepaRG	1	aflatoxin B1	Genotoxic	FALSE	BPI-T2-DMSO-72h	2.5	micromolar	72	hour
BPI-T3-AFB 10-72h-R-1-1	HepaRG	1	aflatoxin B1	Genotoxic	FALSE	BPI-T3-DMSO-72h	2.5	micromolar	72	hour
