Source Name	Strain	Biological Replicate	Compound	Compound Class	Control	Sample Match	Dose	Dose Unit	Dose Duration	Dose Duration Unit
BPI_E2_DMSO_24h_M_2_1	HepaRG	2	dimethyl sulfoxide		TRUE				24	hour
BPI_E2_DMSO_24h_M_2_2	HepaRG	2	dimethyl sulfoxide		TRUE				24	hour
BPI_E3_DMSO_24h_M_2_1	HepaRG	2	dimethyl sulfoxide		TRUE				24	hour
BPI_E2_DMSO_72h_M_2_1	HepaRG	2	dimethyl sulfoxide		TRUE				72	hour
BPI_E2_DMSO_72h_M_2_2	HepaRG	2	dimethyl sulfoxide		TRUE				72	hour
BPI_E2_DMSO_72h_M_2_2	HepaRG	2	dimethyl sulfoxide		TRUE				72	hour
BPI_E2_BaP5_24h_M_2_1	HepaRG	2	benzo[a]pyrene		FALSE	BPI_E2_DMSO_24h	0.0025	micromolar	24	hour
BPI_E2_BaP5_24h_M_2_2	HepaRG	2	benzo[a]pyrene		FALSE	BPI_E2_DMSO_24h	0.0025	micromolar	24	hour
BPI_E3_BaP5_24h_M_2_1	HepaRG	2	benzo[a]pyrene		FALSE	BPI_E3_DMSO_24h	0.0025	micromolar	24	hour
BPI_E2_BaP5_72h_M_2_1	HepaRG	2	benzo[a]pyrene		FALSE	BPI_E2_DMSO_72h	0.0025	micromolar	72	hour
BPI_E2_BaP5_72h_M_2_2	HepaRG	2	benzo[a]pyrene		FALSE	BPI_E2_DMSO_72h	0.0025	micromolar	72	hour
BPI_E2_BaP5_72h_M_2_2	HepaRG	2	benzo[a]pyrene		FALSE	BPI_E2_DMSO_72h	0.0025	micromolar	72	hour
