Source Name	Strain	Biological Replicate	Compound	Compound Class	Control	Sample Match	Dose	Dose Unit	Dose Duration	Dose Duration Unit
HUL-H-MED-24-R-1-2	HepG2	1	untreated	CTRL	TRUE				24	hour
HUL-H-MED-24-R-2-2	HepG2	2	untreated	CTRL	TRUE				24	hour
HUL-H-MED-24-R-3-2	HepG2	3	untreated	CTRL	TRUE				24	hour
HUL-H-MED-72-R-1-2	HepG2	1	untreated	CTRL	TRUE				72	hour
HUL-H-MED-72-R-2-2	HepG2	2	untreated	CTRL	TRUE				72	hour
HUL-H-MED-72-R-3-2	HepG2	3	untreated	CTRL	TRUE				72	hour
HUL-H-DIC2-24-R-1-2	HepG2	1	diclofenac sodium	Non-carcinogen	FALSE	HUL-H-MED-24-R	40	micromolar	24	hour
HUL-H-DIC2-24-R-2-2	HepG2	2	diclofenac sodium	Non-carcinogen	FALSE	HUL-H-MED-24-R	40	micromolar	24	hour
HUL-H-DIC2-24-R-3-2	HepG2	3	diclofenac sodium	Non-carcinogen	FALSE	HUL-H-MED-24-R	40	micromolar	24	hour
HUL-H-DIC2-72-R-2-2	HepG2	2	diclofenac sodium	Non-carcinogen	FALSE	HUL-H-MED-72-R	40	micromolar	72	hour
HUL-H-DIC2-72-R-3-2	HepG2	3	diclofenac sodium	Non-carcinogen	FALSE	HUL-H-MED-72-R	40	micromolar	72	hour
HUL-H-DIC2-72-R-4-2	HepG2	4	diclofenac sodium	Non-carcinogen	FALSE	HUL-H-MED-72-R	40	micromolar	72	hour
