Source Name	Strain	Biological Replicate	Compound	Compound Class	Control	Sample Match	Dose	Dose Unit	Dose Duration	Dose Duration Unit
HUL-H-DMO-24-R-1-2	HepG2	1	dimethyl sulfoxide	DMSO	TRUE				24	hour
HUL-H-DMO-24-R-2-2	HepG2	2	dimethyl sulfoxide	DMSO	TRUE				24	hour
HUL-H-DMO-24-R-3-2	HepG2	3	dimethyl sulfoxide	DMSO	TRUE				24	hour
HUL-H-DMO-72-R-1-2	HepG2	1	dimethyl sulfoxide	DMSO	TRUE				72	hour
HUL-H-DMO-72-R-2-2	HepG2	2	dimethyl sulfoxide	DMSO	TRUE				72	hour
HUL-H-DMO-72-R-3-2	HepG2	3	dimethyl sulfoxide	DMSO	TRUE				72	hour
HUL-H-TPA1-24-R-1-1	HepG2	1	phorbol 13-acetate 12-myristate	Non-genotoxic	FALSE	HUL-H-DMO-24-R	1E-07	micromolar	24	hour
HUL-H-TPA1-24-R-2-1	HepG2	2	phorbol 13-acetate 12-myristate	Non-genotoxic	FALSE	HUL-H-DMO-24-R	1E-07	micromolar	24	hour
HUL-H-TPA1-24-R-3-1	HepG2	3	phorbol 13-acetate 12-myristate	Non-genotoxic	FALSE	HUL-H-DMO-24-R	1E-07	micromolar	24	hour
HUL-H-TPA1-72-R-1-1	HepG2	1	phorbol 13-acetate 12-myristate	Non-genotoxic	FALSE	HUL-H-DMO-72-R	1E-07	micromolar	72	hour
HUL-H-TPA1-72-R-2-1	HepG2	2	phorbol 13-acetate 12-myristate	Non-genotoxic	FALSE	HUL-H-DMO-72-R	1E-07	micromolar	72	hour
HUL-H-TPA1-72-R-3-1	HepG2	3	phorbol 13-acetate 12-myristate	Non-genotoxic	FALSE	HUL-H-DMO-72-R	1E-07	micromolar	72	hour
