Source Name	Strain	Biological Replicate	Compound	Compound Class	Control	Sample Match	Dose	Dose Unit	Dose Duration	Dose Duration Unit
BPI-T1-DMSO-24h-R-2-1	HepaRG	1	dimethyl sulfoxide	DMSO	TRUE		0.5	percent	24	hour
BPI-T2-DMSO-24h-R-1-1	HepaRG	1	dimethyl sulfoxide	DMSO	TRUE		0.5	percent	24	hour
BPI-T3-DMSO-24h-R-1-1	HepaRG	1	dimethyl sulfoxide	DMSO	TRUE		0.5	percent	24	hour
BPI-T1-DMSO-72h-R-2-1	HepaRG	1	dimethyl sulfoxide	DMSO	TRUE		0.5	percent	72	hour
BPI-T2-DMSO-72h-R-1-1	HepaRG	1	dimethyl sulfoxide	DMSO	TRUE		0.5	percent	72	hour
BPI-T3-DMSO-72h-R-1-1	HepaRG	1	dimethyl sulfoxide	DMSO	TRUE		0.5	percent	72	hour
BPI-T1-TPA 10-24h-R-1-1	HepaRG	1	phorbol 13-acetate 12-myristate	Non-genotoxic	FALSE	BPI-T1-DMSO-24h	35	micromolar	24	hour
BPI-T2-TPA 10-24h-R-1-1	HepaRG	1	phorbol 13-acetate 12-myristate	Non-genotoxic	FALSE	BPI-T2-DMSO-24h	35	micromolar	24	hour
BPI-T3-TPA 10-24h-R-1-1	HepaRG	1	phorbol 13-acetate 12-myristate	Non-genotoxic	FALSE	BPI-T3-DMSO-24h	35	micromolar	24	hour
BPI-T1-TPA 10-72h-R-1-1	HepaRG	1	phorbol 13-acetate 12-myristate	Non-genotoxic	FALSE	BPI-T1-DMSO-72h	35	micromolar	72	hour
BPI-T2-TPA 10-72h-R-1-1	HepaRG	1	phorbol 13-acetate 12-myristate	Non-genotoxic	FALSE	BPI-T2-DMSO-72h	35	micromolar	72	hour
BPI-T3-TPA 10-72h-R-1-1	HepaRG	1	phorbol 13-acetate 12-myristate	Non-genotoxic	FALSE	BPI-T3-DMSO-72h	35	micromolar	72	hour
