"Source Name"	"Characteristics[Subject ID]"	"Characteristics[Strain]"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Sex]"	"Factor Value[Age]"	"Characteristics[AgeUnit]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organ]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Tissue]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Cell]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Assay Type]"	"Characteristics[Biological Replicate]"	"Characteristics[Technical Replicate]"	"Factor Value[Compound]"	"Term Source REF"	"Term Accession Number"	"Characteristics[StdInChIKey]"	"Comment [ChEMBL ID]"	"Characteristics[Eniantiomer]"	"Characteristics[Compound Class]"	"Characteristics[Control]"	"Characteristics[Sample Match]"	"Factor Value[Dose]"	"Characteristics[DoseUnit]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose Duration]"	"Characteristics[Dose DurationUnit]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose Frequency]"	"Characteristics[Vehicle]"	"Characteristics[Route]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample TimePoint]"	"Characteristics[Sample TimePointUnit]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Treatment Group]"	"Protocol REF"	"Sample Name"
"LUM-1-BR200-0h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"untreated"	""	""	""	""	""	"CTRL"	"TRUE"	""	""	""	""	""	"0"	"hour"	"UO"	"UO:0000032"	""	"None"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200-0h-R-1-1"
"LUM-1-BR200-0h-R-2-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"untreated"	""	""	""	""	""	"CTRL"	"TRUE"	""	""	""	""	""	"0"	"hour"	"UO"	"UO:0000032"	""	"None"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200-0h-R-2-1"
"LUM-1-BR200.BaP 10-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzo[a]pyrene"	"CHEBI"	"CHEBI:29865"	"FMMWHPNWAFZXNH-UHFFFAOYSA-N"	"CHEMBL31184"	""	"Genotoxic"	"FALSE"	"LUM-1-BR200.DMSO-24h-R-1-1"	"10"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.BaP 10-24h-R-1-1"
"LUM-1-BR200.BaP 10-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzo[a]pyrene"	"CHEBI"	"CHEBI:29865"	"FMMWHPNWAFZXNH-UHFFFAOYSA-N"	"CHEMBL31184"	""	"Genotoxic"	"FALSE"	"LUM-1-BR200.DMSO-72h-R-1-1"	"10"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.BaP 10-72h-R-1-1"
"LUM-1-BR200.BaP 20-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzo[a]pyrene"	"CHEBI"	"CHEBI:29865"	"FMMWHPNWAFZXNH-UHFFFAOYSA-N"	"CHEMBL31184"	""	"Genotoxic"	"FALSE"	"LUM-1-BR200.DMSO-24h-R-1-1"	"20"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.BaP 20-24h-R-1-1"
"LUM-1-BR200.BaP 20-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzo[a]pyrene"	"CHEBI"	"CHEBI:29865"	"FMMWHPNWAFZXNH-UHFFFAOYSA-N"	"CHEMBL31184"	""	"Genotoxic"	"FALSE"	"LUM-1-BR200.DMSO-72h-R-1-1"	"20"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.BaP 20-72h-R-1-1"
"LUM-1-BR200.Beclo 100-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"beclomethasone dipropionate"	"CHEBI"	"CHEBI:3002"	"KUVIULQEHSCUHY-XYWKZLDCSA-N"	"CHEMBL1200500"	""	"Non-carcinogen"	"FALSE"	"LUM-1-BR200.DMSO-24h-R-1-1"	"100"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.Beclo 100-24h-R-1-1"
"LUM-1-BR200.Beclo 100-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"beclomethasone dipropionate"	"CHEBI"	"CHEBI:3002"	"KUVIULQEHSCUHY-XYWKZLDCSA-N"	"CHEMBL1200500"	""	"Non-carcinogen"	"FALSE"	"LUM-1-BR200.DMSO-72h-R-1-1"	"100"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.Beclo 100-72h-R-1-1"
"LUM-1-BR200.Beclo 50-24h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"beclomethasone dipropionate"	"CHEBI"	"CHEBI:3002"	"KUVIULQEHSCUHY-XYWKZLDCSA-N"	"CHEMBL1200500"	""	"Non-carcinogen"	"FALSE"	"LUM-1-BR200.DMSO-24h-R-1-1"	"50"	"micromolar"	"UO"	"UO:0000064"	"24"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.Beclo 50-24h-R-1-1"
"LUM-1-BR200.Beclo 50-72h-R-1-1"	""	"BR200"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"beclomethasone dipropionate"	"CHEBI"	"CHEBI:3002"	"KUVIULQEHSCUHY-XYWKZLDCSA-N"	"CHEMBL1200500"	""	"Non-carcinogen"	"FALSE"	"LUM-1-BR200.DMSO-72h-R-1-1"	"50"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-1-BR200.Beclo 50-72h-R-1-1"
